pairid,used,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_lgLDR,std_lgLDR,min_lgLDR,max_lgLDR
14,,55,10189.15,22,1.46,10195.11,26,2.728,-1448.3317858655653,3510.936645073093,18,148.6890634307243,-0.5709690915691615,0.28991250112746597,-1.2237656745702596,-0.17096932627573608
15,*,55,10273.68,20,4.535,10230.8,26,6.119,-2696.523115553738,4446.869579224006,22,191.29018872827703,-0.13983644358770944,0.14480407652909316,-0.4062014848125021,0.39224305586891867
16,,54,10423.74,26,3.071,10288.94,14,4.92,-4364.2973047302685,4343.540780964947,30,96.30845745548565,-0.09598334962523665,0.07004106035400952,-0.2595088204115685,0.16145869404485189
17,,54,10333.18,26,4.593,10313.2,14,6.399,-3459.4712327305097,5373.394988186735,24,111.05990169406108,0.16823417459769857,0.07167175931730047,0.0693096091267762,0.3712636739818429
18,,54,10321.06,28,5.525,10414.91,14,6.619,-3402.580700913739,4575.287122888327,25,136.26455702880313,-0.07673249095291626,0.07312736147805543,-0.2261790813880845,0.18379408534390507
19,,54,10332.33,26,3.635,10353.81,26,5.393,-4298.985975799375,4704.350222268767,30,90.00453254720324,-0.0091735622316984,0.06951337060383464,-0.11650659382041552,0.21802059926493705
20,,54,10396.8,22,0.848,10340.89,26,2.198,-4356.1690425810375,5117.501310730514,30,84.34405354599677,0.09750256650334169,0.08354527436361678,-0.11644098460303735,0.2759544871670902
21,,54,10343.82,20,2.9330000000000003,10371.26,14,4.93,-5354.601977316282,4855.981965495728,30,67.1120123642543,0.011567209414687139,0.057308383279431656,-0.11278333676142685,0.2099328344069266
22,,54,10423.03,26,2.6919999999999997,10347.97,26,5.393,-4892.353981372574,5580.64795688284,30,112.25230442830171,0.16349158645500372,0.06399312631047259,0.02999504178214605,0.4026124233751743
23,,54,10382.31,27,2.8710000000000004,10388.75,26,5.446000000000001,-2408.0442428457673,4481.4601252544935,27,105.87240745702927,-0.08592289167916321,0.1394773930525324,-0.3230853327479803,0.2729469201741283
24,,54,10395.8,26,2.176,10469.65,26,3.884,-9230.87562392302,4748.1799890274215,30,129.30431540891232,-0.0023465285522703888,0.03839039543817763,-0.08080949072264063,0.09754678971554152
25,,54,10460.05,22,2.256,10435.35,26,4.7330000000000005,-2207.8397094636143,4678.749556343539,18,81.4494717416974,0.02358123345918063,0.17025956533026926,-0.25243939721294345,0.4254403039407626
26,,53,10486.25,24,3.011,10530.51,28,4.105,-4276.00830930228,5278.0976379290405,28,107.28876088416904,0.13063224085475256,0.08595305540612451,-0.04021839848510421,0.3678001625727987
27,,53,10496.11,22,0.836,10535.71,26,6.206,-1953.652815249424,5652.732980749126,29,52.76390882223019,0.44009151961068177,0.14331040227954753,0.2098303844967022,1.0288164684078538
28,,53,10510.01,24,3.013,10555.65,26,5.446000000000001,-2355.480939047317,5242.842013895267,26,82.50671006937243,0.22856764677296143,0.13612485008924363,-0.019605861457835237,0.6632000546107998
29,*,53,10551.76,22,1.8869999999999998,10532.24,26,3.929,-1066.1646826963558,3459.594547541471,9,76.64214772248835,-0.43992957476900446,0.25939372424761836,-1.4716517893033116,-0.3209734637437583
30,,53,10552.97,22,2.249,10582.16,14,6.223,-1077.0344377504516,4372.7342703474515,21,67.52810379810174,-0.2204654549745125,0.32286744670208284,-0.7162723101984817,0.6185885159785409
31,,53,10577.14,26,3.301,10611.69,26,6.169,-5158.081749196866,4934.02003444067,29,137.03501869655776,0.03781201658306079,0.06455143683444318,-0.04394316938538551,0.24824963685907234
32,,53,10607.72,22,0.848,10672.14,24,3.013,-1891.1527777140386,4272.629611113807,26,135.06323857767725,-0.02382825155049296,0.21604113347344658,-0.5898139462809728,0.2043404805352928
33,,52,10616.72,26,3.267,10627.65,14,5.8629999999999995,-2970.8070754496744,3767.114241684638,24,93.81065587308935,-0.3099318336187667,0.12788250451614425,-0.6740581075685397,-0.00530287716848564
34,*,52,10677.05,22,0.836,10721.66,26,5.507000000000001,-1281.3745192794065,5492.314882909543,22,151.8116584215349,0.5669414623866484,0.2604481146507186,-0.029091691874942142,1.195539065178916
35,*,52,10692.73,26,3.071,10689.72,14,5.954,-3266.9161449868125,1915.8966084855704,16,187.59102023103748,-0.8466855949158527,0.12497589577130662,-0.9987131735482512,-0.5079037454040227
36,,52,10753.0,26,3.96,10694.25,14,5.9639999999999995,-5062.6491069117,3325.0887063958476,23,128.52342301169998,-0.2889068947153538,0.061946555763146414,-0.3942873074892807,-0.04872192084427217
37,*,52,10746.45,11,3.1910000000000003,10717.81,26,5.539,-7755.893472607908,7176.165622040404,17,511.5906773003013,0.31062130971392565,0.0774505583176358,0.2656110557740711,0.552762932189192
38,,52,10725.19,26,3.64,10849.47,26,5.539,-4850.852397573957,4825.730757785687,23,147.10494335796486,0.009477912918259073,0.06538786373916447,-0.0815856939282342,0.2292517595347683
39,,52,10726.39,22,0.813,10785.39,26,5.621,-1692.7672748746888,5618.9236941467125,23,122.49201396226243,0.4727061836913457,0.17636301953233524,0.3190849953118206,1.0052601051961283
40,,52,10783.05,26,3.111,10727.41,14,5.984,-4542.66961162186,3789.5116459228634,25,133.57958441269216,-0.22343392187742483,0.06948043679817355,-0.41475808394269503,0.029862401663431987
41,,52,10732.86,22,0.826,10762.26,28,4.154,-1488.9229873704196,5300.4922321793,24,89.59714535188158,0.3740931750692135,0.2154112178755308,0.10997154354648196,0.9141653880527542
42,*,52,10742.55,26,3.642,10749.38,14,4.93,-2814.1041418398063,1173.6671188397256,13,204.43408316464019,-1.200047964365429,0.14815125455657766,-1.4452542929408374,-0.9344483044207628
43,,52,10774.87,22,0.818,10838.97,20,4.878,-1353.9703026476734,4754.336775401974,24,100.98888600139108,0.1012490683820243,0.2616168831681123,-0.4049604070326381,0.5668824812256482
44,,52,10780.69,26,3.237,10843.86,14,5.8629999999999995,-2945.9769613310673,3170.7652515089794,24,132.02343832822189,-0.5303494890050222,0.11729910133264325,-0.7414455991678517,-0.2327121331561892
45,*,52,10834.85,11,3.617,10784.56,14,5.9639999999999995,-5126.486419832916,4741.918032097221,25,258.29427882583445,-0.0195293389631587,0.0718210214811525,-0.2158208587417423,0.33322371351495056
46,*,52,10801.36,24,3.011,10811.12,12,5.946000000000001,-2872.5055745079035,2629.9452973568687,14,228.3786029464013,-0.6489866187303581,0.16475285336422382,-0.785283077198915,-0.3292960341299005
47,*,52,10816.91,24,3.013,10827.09,14,4.954,-1978.0192756650765,2880.975527073145,15,156.09194935458441,-0.8070510423663345,0.23587743901953107,-1.068273556150939,-0.4132814845189531
48,*,48,11638.26,26,2.176,11640.94,14,6.274,-3809.128897984292,6346.213460868828,19,160.27351834092156,0.38371277984066554,0.07300147362653127,0.2490493269465707,0.5360634559804582
49,*,48,11667.23,22,2.345,11681.59,26,3.5469999999999997,-1056.7094067797414,3732.733987848738,5,175.66800731164594,-0.2933968106109021,0.3715839484812473,-0.9306579808230784,-0.050632095610375835
50,*,48,11797.19,22,1.43,11793.04,20,4.535,-1701.9667394601345,4254.394830716364,11,215.1580637504178,-0.13235057005229833,0.28949629965206874,-0.8853026655511407,0.2698261513151116
51,*,47,11884.08,26,2.2230000000000003,11984.2,14,4.93,-5014.784902072994,4188.969401548686,19,190.02480805462156,-0.1391345633351227,0.0738341472364601,-0.2404719635466645,0.09282580662126354
52,*,47,11955.95,20,4.131,12005.4,26,5.587000000000001,-3667.3507854474683,3962.528554122553,14,261.75898810467515,-0.2291438446274123,0.13299240876142357,-0.3936761556689048,0.019493002452763183
53,*,47,12000.97,24,3.435,12039.82,12,5.752999999999999,-1964.639778447353,3310.4695284938466,7,106.96306299542012,-0.4717339325953769,0.3252793443097128,-0.980604438864384,-0.2354123611986281
54,*,46,12105.84,20,4.553999999999999,12178.34,14,6.269,-4187.563023458804,4466.713678759531,18,231.94421232701248,-0.0886847597543007,0.0865818302310156,-0.3265592758122101,0.29390873261962946
55,*,46,12255.7,22,3.9210000000000003,12133.99,14,5.984,-1247.1929051974232,4000.5845068884996,9,203.72971707379224,-0.35816935679056205,0.32504479283428706,-0.6675494460864941,0.2517041937956057
56,,46,12190.1,26,3.635,12175.73,14,6.619,-3651.641044675186,5863.200543921556,16,121.89682528488729,0.2881705936887022,0.08525247740384088,0.061838780503657084,0.5906714749411726
57,*,46,12267.89,26,3.2739999999999996,12283.3,26,6.169,-2301.5660752429453,4193.857763386504,12,275.2041306926398,-0.2135302941632173,0.2063638873679742,-0.6307796280370236,0.27038059507228895
58,,45,12340.48,26,2.279,12390.15,14,5.082,-2704.0510170376124,4046.753956360109,15,106.09993283434959,-0.19933806360030065,0.17245691141184685,-0.3786758034519348,0.12349651587874814
